1,100
2,87
3,54
4,82
5,93
6,47
7,40
8,53
9,88
10,58
11,84
12,65
13,57
14,66
15,25
16,70
17,85
18,36
19,61
20,34
21,33
22,33
23,100
24,69
25,77
26,88
27,63
28,17
29,42
30,55
31,98
32,70
33,68
34,70
35,65
36,70
37,84
38,52
39,60
40,54
41,57
42,47
43,57
44,86
45,25
46,66
47,40
48,100
49,32
50,39
51,90
52,83
53,64
54,95
55,85
56,100
57,67
58,60
59,42
60,65
61,82
62,85
63,62
64,72
65,65
66,76
67,23
68,96
69,30
70,45
71,77
72,55
73,100
74,80
75,55
76,52
77,85
78,68
79,53
80,82
81,55
82,51
83,47
84,47
85,64
86,75
87,65
88,60
89,45
90,75
91,62
92,93
93,98
94,58
95,95
96,83
97,33
98,70
99,51
100,60
